Episode,Total_Reward,Success_Count,Blocking_Rate,Resource_Utilization
1,10,10,0.00,0.05
2,0,5,0.50,0.08
3,-8,1,0.90,0.08
4,-8,1,0.90,0.09
5,-6,2,0.80,0.10
6,-10,0,1.00,0.10
7,2,6,0.40,0.13
8,2,6,0.40,0.16
9,10,10,0.00,0.21
10,10,10,0.00,0.26
11,6,8,0.20,0.30
12,10,10,0.00,0.35
13,6,8,0.20,0.39
14,8,9,0.10,0.44
15,0,5,0.50,0.46
16,4,7,0.30,0.50
17,6,8,0.20,0.54
18,6,8,0.20,0.58
19,-6,2,0.80,0.59
20,-2,4,0.60,0.61
21,2,6,0.40,0.64
22,0,5,0.50,0.66
23,-4,3,0.70,0.68
24,-4,3,0.70,0.69
25,-2,4,0.60,0.71
26,-4,3,0.70,0.73
27,-8,1,0.90,0.73
28,-8,1,0.90,0.74
29,0,5,0.50,0.76
30,-6,2,0.80,0.77
31,-8,1,0.90,0.78
32,0,5,0.50,0.80
33,4,7,0.30,0.84
34,4,7,0.30,0.87
35,-2,4,0.60,0.89
36,-8,1,0.90,0.90
37,-4,3,0.70,0.91
38,-8,1,0.90,0.92
39,-10,0,1.00,0.92
40,-10,0,1.00,0.92
41,-10,0,1.00,0.92
42,-10,0,1.00,0.92
43,-10,0,1.00,0.92
44,-10,0,1.00,0.92
45,-8,1,0.90,0.92
46,-10,0,1.00,0.92
47,-10,0,1.00,0.92
48,-8,1,0.90,0.93
49,-4,3,0.70,0.94
50,-8,1,0.90,0.95
51,-10,0,1.00,0.95
52,-10,0,1.00,0.95
53,-10,0,1.00,0.95
54,-10,0,1.00,0.95
55,-10,0,1.00,0.95
56,-10,0,1.00,0.95
57,-8,1,0.90,0.95
58,-10,0,1.00,0.95
59,-10,0,1.00,0.95
60,-10,0,1.00,0.95
61,-10,0,1.00,0.95
62,-10,0,1.00,0.95
63,-10,0,1.00,0.95
64,-8,1,0.90,0.96
65,-8,1,0.90,0.96
66,-8,1,0.90,0.97
67,-10,0,1.00,0.97
68,-10,0,1.00,0.97
69,-6,2,0.80,0.98
70,-10,0,1.00,0.98
71,-10,0,1.00,0.98
72,-10,0,1.00,0.98
73,-10,0,1.00,0.98
74,-10,0,1.00,0.98
75,-10,0,1.00,0.98
76,-10,0,1.00,0.98
77,-10,0,1.00,0.98
78,-10,0,1.00,0.98
79,-10,0,1.00,0.98
80,-10,0,1.00,0.98
81,-10,0,1.00,0.98
82,-10,0,1.00,0.98
83,-10,0,1.00,0.98
84,-10,0,1.00,0.98
85,-10,0,1.00,0.98
